name,site,city,longitude,latitude
四惠站,地铁八通线,北京,116.498489,39.908279
四惠东站,地铁八通线,北京,116.514954,39.908051
高碑店站,地铁八通线,北京,115.858901,39.328727
传媒大学站,地铁八通线,北京,116.554931,39.909548
双桥站,地铁八通线,北京,116.569498,39.901066
管庄站,地铁八通线,北京,116.598786,39.908696
八里桥站,地铁八通线,北京,116.617844,39.906559
通州北苑站,地铁八通线,北京,116.636748,39.90407
果园站,地铁八通线,北京,116.646183,39.893199
九棵树站,地铁八通线,北京,116.662943,39.88852
梨园站,地铁八通线,北京,116.669083,39.883915
临河里站,地铁八通线,北京,116.679099,39.875796
土桥站,地铁八通线,北京,116.687215,39.871679
西二旗站,地铁昌平线,北京,116.306169,40.052307
生命科学园站,地铁昌平线,北京,116.294575,40.094705
朱辛庄站,地铁昌平线,北京,116.313248,40.104775
巩华城站,地铁昌平线,北京,116.293671,40.130836
沙河站,地铁昌平线,北京,116.28841,40.148186
沙河高教园站,地铁昌平线,北京,116.279991,40.164629
南邵站,地铁昌平线,北京,116.287159,40.207766
北邵洼站,地铁昌平线,北京,116.282712,40.221261
昌平东关站,地铁昌平线,北京,116.26284,40.221475
昌平站,地铁昌平线,北京,116.194657,40.190277
十三陵景区站,地铁昌平线,北京,116.207894,40.239493
昌平西山口站,地铁昌平线,北京,116.194237,40.244382
苏庄站,地铁房山线,北京,116.125346,39.723503
良乡南关站,地铁房山线,北京,116.140429,39.723478
良乡大学城西站,地铁房山线,北京,116.155903,39.723547
良乡大学城站,地铁房山线,北京,116.176119,39.722872
良乡大学城北站,地铁房山线,北京,116.183056,39.729827
广阳城站,地铁房山线,北京,116.18055,39.746964
篱笆房站,地铁房山线,北京,116.189793,39.760327
长阳站,地铁房山线,北京,116.212569,39.763968
稻田站,地铁房山线,北京,116.218561,39.79446
大葆台站,地铁房山线,北京,116.291802,39.807984
郭公庄站,地铁房山线,北京,116.302856,39.81414
宋家庄站,地铁亦庄线,北京,116.428645,39.843724
肖村站,地铁亦庄线,北京,116.447857,39.834035
小红门站,地铁亦庄线,北京,116.459255,39.828751
旧宫站,地铁亦庄线,北京,116.460624,39.807513
亦庄桥站,地铁亦庄线,北京,116.481035,39.803228
亦庄文化园站,地铁亦庄线,北京,116.491242,39.807005
万源街站,地铁亦庄线,北京,116.505292,39.80286
荣京东街站,地铁亦庄线,北京,116.513118,39.793611
荣昌东街站,地铁亦庄线,北京,116.522169,39.782348
同济南路站,地铁亦庄线,北京,116.539213,39.772623
经海路站,地铁亦庄线,北京,116.56275,39.78393
次渠南站,地铁亦庄线,北京,116.58115,39.794458
次渠站,地铁亦庄线,北京,116.590398,39.803339
东直门站,机场快轨,北京,116.434877,39.942166
三元桥站,机场快轨,北京,116.456776,39.961098
三号航站楼站,机场快轨,北京,116.615252,40.053373
二号航站楼站,机场快轨,北京,116.593422,40.079067
三元桥站,机场快轨,北京,116.456776,39.961098
东直门站,机场快轨,北京,116.434877,39.942166
苹果园站,地铁1号线,北京,116.177844,39.926496
古城站,地铁1号线,北京,116.190966,39.907589
八角游乐园站,地铁1号线,北京,116.212575,39.907646
